值;zhi2;value
取;qu3;select
由;you2;from
此;ci3;this
令;ling4;let
已知;yi3zhi1;known
考慮;kao3lv4;consider
分別;fen1bie2;respectively
是否;shi4fou3;whether
確定;que4ding4;determine
判斷;pan4duan4;determine
達;da2;achieve
從未;cong2wei2;never
定義;ding4yi4;define
欲;yu4;we wish to
今;jin1;now
某;mou3;some, certain
若干;ruo4gan1;some
的數量;de5shu4liang4;the number of \dots
的個數;de5ge4shu4;the number of \dots
按上述;an4shang4shu4;from above
末;mo4;last
性質;xing4zhi4;property
端;duan1;end
若;ruo4;if
則;ze2;then
故;gu4;therefore
因此;yin1ci3;therefore
即;ji2;i.e.
且;qie3;and
及;ji2;and
亦;yi4;also
根據;gen1ju4;according to
使得;shi3de2;such that
具有;ju4you3;posses (a property)
滿足;man3zu2;satisfy
符合;fu2he2;satisfy
此處;ci3chu4;here
其中;qi2zhong1;\dots where \dots
與;yu3;with
任意;ren4yi4;any
皆;jie1;all
均;jun1;all
對於任何;dui4yu2ren4he2;\dots for any
對所有的;dui4suo2you3de5;\dots for all
某些;mou3xie1;some, certain
存在;cun2zai4;exists
恰;qia4;exactly
唯一;wei2yi1;unique
必;bi4;must
嚴格;yan2ge2;strictly
相異;xiang1yi4;distinct
兩兩相異;liang3liang3xiang1yi4;pairwise distinct
有限;you3xian4;finite / bounded
無窮多;wu2qiong2duo1;infinitely many
當且僅當;dang1qie3jin3dang1;if and only if
若且唯若;ruo4qie3wei2ruo4;if and only if
充要條件;chong1yao4tiao2jian4;necessary and sufficient condition
類似地;lei4si4de5;similarly
互;hu4;mutual
彼;bi3;that, those, one another
固定;gu4ding4;fixed
等價於;deng3jia4yu2;is equivalent to
方程;fang1cheng2;equation
公式;gong1shi4;formula
陳述;chen2shu4;state
變量;bian4liang4;variable
循環;xun2huan2;cyclic
歸法;gui1fa3;induction (數學歸納法)
廣義;guang3yi4;generalized
術語;shu4yu3;terms
階;jie1;order
秩;zhi4;rank
度;du4;degree
正規;zheng4gui1;normal
正交;zheng4jiao1;orthogonal
不妨假設;bu4fang2jia3she4;without loss of generality
解;jie3;derive, solution
構造;gou4zao4;construct
反證;fan3zheng4;proceed by contradiction
