PR,Soln Writer,Checks,Evan,Michael,Sammy,Yang,Ray
1,Evan,4,75,,75,75,75
2,Evan,5,1007,1007,1007,1007,1007
3,Evan,5,2015,2015,2015,2015,2015
4,Evan,5,2014,2014,2014,2014,2014
5,Evan,4,814,814,814,814,
6,Evan,2,46800,,46800,,
7,Evan,2,84,,84,,
8,Evan,3,2,2,2,,
9,Evan,2,131072,,,131072,
10,Evan,4,2,2,2,,2
11,Michael,3,90,,90,,90
12,Yang,4,954,,954,954,954
13,Evan,3,2047,,,2047,2047
14,Evan,3,1186,,1186,,1186
15,Evan,3,147,,147,,147
16,Evan,2,119,,,,119
17,Evan,2,343,343,,,
18,Evan,2,25,25,,,
19,Michael,2,100,,,,100
20,Evan,2,47,47,,,
21,Evan,1,15,,,,
22,Evan,2,620,,,620,
23,Michael,2,,16909,,16909,
24,Evan,5,21,21,21,21,21
25,Michael,3,9901,9901,,9901,
26,Evan,1,720,,,,
27,Michael,2,301,301,,,
28,Sammy,1,,,7800,,
29,Sammy,2,15000,,15000,,
30,Yang,2,76,,,76,
